Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Great place, especially if you find a project you like""","Aug 9, 2018",5.0,Current Employee,Software Engineer,"New York, NY",Recommends,Positive Outlook,I have been working at Google full-time (More than 5 years),"Solid engineering practices, respectful colleagues, great benefits, and amazing free food.",It sometimes feels like it's gotten very big. Lots of great brains behind every problem means it's not straightforward to make your mark.,
"""Good company to work""","Aug 8, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google full-time,Good company to work and learn,Nothing to say against the job,
"""Best Company""","Aug 8, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,Benefits. Co Workers. Experience. People. Shuttles,Work hours. Management. Process. Location. Commute,
"""Comfortable, but not always best for ambitious people""","Aug 21, 2018",4.0,Current Employee,Strategic Partner Development Lead,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"Interesting stuff going on in the company, really high comp, good work/life balance, nice people","Get bored on the business side, too crowded at the top to move up, super bureaucratic about promotions, low impact work, lack of ownership of work due to teams being too big (over hired), real talent is on the eng side",
"""Program Manager""","Aug 3, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,"Great perks, overall great people to work with. Open culture.",Variance in experience depending on which team you'll be joining. Engineering heavy,
"""Great Company and Perks""","Aug 6, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Love the atmosphere,You are working with some of the smartest people.,Not that I know of,
"""Good place to work""","Aug 7, 2018",5.0,Current Employee,Software Engineer,"Seattle, WA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),Smart coworkers good benefits lots of respect,Culture makes you want to work harder than you would at other companies.,
"""Engineer""","Aug 7, 2018",5.0,Current Employee,Anonymous Employee,,,Positive Outlook,I have been working at Google full-time,"Fun, fast paced, good amenities","Felt pressured to push harder than other, smaller conpanies",
"""Awesome""","Aug 18, 2018",4.0,Current Employee,Software Engineer,"San Francisco, CA",Recommends,Neutral Outlook,I have been working at Google full-time (More than a year),Good working environment and facilities are awesome,You need to be very careful,
"""Recruiter""","Sep 5, 2018",1.0,Current Employee,Recruiter,,Doesn't Recommend,,I have been working at Google full-time (Less than a year),"Food, amenities, and the hardware/accessories supplied.","If you're a talented recruiter, stay far away from here. This company has the most cumbersome, trivial, unfulfilling, highly regulated recruiting process of any company I've ever worked for. It's nauseating what we put candidates (and ourselves) through. Coming here was by far the biggest career mistake I've ever made.",
"""Manager""","Aug 20, 2018",3.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google full-time (More than 3 years),"Obvious, offices, perks, most of the people",Politics at upper levels. OKRs are outdated and Machiavellian,
"""Playstore Production Associate""","Sep 6, 2018",1.0,Current Employee,Anonymous Employee,"Mountain View, CA",Doesn't Recommend,Negative Outlook,Show More,This team has the potential to be best they can be but they need to get out of their own way with their egotistical know it all attitude.,"This Playstore Production Management team are some of the most pompous, arrogant, juvenile punks I have ever had the misfortune of coming across. My manager wanted to know when things weren't getting done or were going wrong but when I approached him he would be defensive, accusing, openly blaming and quite snotty and offensive. This is not the hallmark of anyone cut out to manager other people. When approaching him … ",
"""AdWords Representative""","Aug 4, 2018",5.0,Former Employee,Anonymous Employee,"Blacksburg, VA",,,I worked at Google full-time (Less than a year),"Vibrant, extremely Inclusive and competitive.",No cons as far as I know,
"""No great expectations.""","Aug 19, 2018",3.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,Company provides great benefit package with lots of time off.,"Income is limited due to nature of how stores are managed (sales associates might make 35K gross minus taxes, benefits, etc. income of about 26K. ) managers paid salary but still sell and always have the best opportunity for walk in customers (store manager make 65K minimum). Great job for someone who just wants to earn a mediocre living, young person with not many responsibilities,",
"""Forcing me to write a review""","Aug 18, 2018",4.0,Former Employee,Intern,"Mountain View, CA",,,I worked at Google (Less than a year),Just ignore this guys. Stupid website.,Why the hell do I need to do this. Oh lord.,
"""Great Company to Work For""","Aug 2, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Neutral Outlook,I have been working at Google full-time,"Fun, Great People, A lot of career options","It is now a large company, and you feel like a small part of a massive machine.",
"""SQL""","Aug 3, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,Good people. Benefits are good,nothing at this time may be in future,
"""Great opportunity!""","Aug 14, 2018",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google part-time,Very flexible working environment and friendly people to work with.,I cannot think of any downsides,
"""Great company, lots of benefits""","Aug 15, 2018",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google part-time,"Free everything, food lunch, and amenities","Heavy workload, not a great work life balance",
"""UX Designer""","Jul 30, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,Great working environment and people,"Can't really complain. Understandably, career opportunities vary per location.",
"""Good job""","Jul 31, 2018",5.0,Current Employee,Software Engineer,"Los Angeles, CA",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),Good people dream job good place,Good food good salary respect,
"""Software Engineer""","Jul 31, 2018",5.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,Solid internal products and tools,Work with good people,All of the internal tools make what you've learned less relevant if you want to leave,
"""Google Cloud""","Aug 14, 2018",4.0,Former Employee,SMB Account Executive,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (More than a year),"Opportunities to work on meaningfull projects, access to resources, access to learning opportunities, strong community","Cloud is the least ""Googley"" org, less budget",
"""Good company to work for""","Aug 13, 2018",3.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,"Great people, nice environment",Work / life balance can be hard,
"""Product Quality Analyst""","Jul 30, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,Good food. Great people and culture,Work gets boring at times,
"""Account Manager""","Aug 11, 2018",4.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,"Good pay and perks, respectful and friendly coworkers","Big company, hard to move functions",
"""Director Sales""","Jul 25, 2018",5.0,Former Employee,Regional Sales Director,"New York, NY",Recommends,Positive Outlook,I worked at Google full-time (More than a year),"Awesome job, nothing to complain about","Nothing really, the job was amazing",
"""Good company with good benefits; lots of red tape & big company process however""","Aug 11, 2018",4.0,Current Employee,Anonymous Employee,,,,easy to feel lost in a large company like this one,benefits;,huge company with lots of process & red tape,
"""Hard to beat""","Jul 25, 2018",4.0,Former Employee,Director,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (More than 8 years),"Google is a great place filled with idealistic, smart people.","The agile ""chocolate factory"" of years past is gone, with an increasingly corporate behemoth taking its place. Your experience depends strongly on which part of the company you work for. Some jobs are amazingly rewarding. Some take the ""world's smartest people"" and have them move bits from one bucket to another.",
"""Amazing""","Jul 27, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Work is challenging and enjoyable,Family Life suffers because of time commitment,
