Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Bad culture in technology""","Jul 9, 2018",1.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Negative Outlook,"Stop rewarding the wrong behaviors and reward those who exhibit the values you want in your company. Reward teams that are doing well instead of individuals. If you continue to reward firefighters, you'll get a lot of arsonists.",Good benefits. Pay is OK.,Terrible culture with a lot of politics in the software development organization. Management stack ranks employees and takes money from the lower ranked people to give to their far exceeds. Instead of working together people are working against one. No collaboration and a lot of back stabbing going on.,Focus on building a better collaborative culture instead of a competitive/back-stabbing culture.
"""Senior Relationship Specialist""","Jun 7, 2018",5.0,Former Employee,Potato Farmer,"Denver, CO",Recommends,Positive Outlook,Show More,Amazing Culture,"breaks are only 15 minutes and lunch is only 30. We work extremely hard all day and then are expected to be back at desk at specific time. building is huge. takes 5 minutes to walk outside and 5 mins later time to go back up or your late. IF you call out sick a few times you're looked at as being a bad employee. Also holidays are terrible, hard to get off as we are busy during tax seasons.","Give work/life balance a little more attention, let people work from home a day or two each week, give more vacation time for people's families, host more EVENTS for your staff, all kinds of events hosted for management to attend and we are left in the dust. Please give more awards and recognition to people who go above and beyond, if you don't move up people you will be stuck in your same role for many years. MOVE … "
"""customer service specialist""","Jun 9, 2018",3.0,Former Employee,Operations Specialist,,Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time (More than 10 years),"good people to work with, good benefits","micro management, pay is not the best.",a company can be profitable and enjoyable to work at if upper management would at least try for a balance.
"""No promotion after 2 yrs as a team lead. Department VP/MD manipulative""","Jun 5, 2018",2.0,Former Employee,Anonymous Employee,"Denver, CO",Doesn't Recommend,Positive Outlook,Show More,Great benefits and overall culture is client oriented. Colleagues are generally helpful and pleasant to work with.,"As the corporation grows larger, some department heads are either poorly trained (don’t know the job grade structure) or simply cutting corners on promoting and paying their top performers fairly. Seeing more often managers ask top performers to lead a team without paying them more or on track for a promotion. Manipulative tactics to talk their employees into believing they are given an opportunity to learn to lead, … ","When going from an individual contributor to a people manager role, it should be a promotion, not a lateral move because you value their leadership skills. Department heads are playing the card of ‘opportunity offered and be thankful’. Your future leaders are now looking for jobs elsewhere with better pay. Have your HR, MDs and VPs to be fully aware talents should be paid by their worth. HR should examine closely … "
"""Financial Service Representative""","May 29, 2018",4.0,Former Employee,Financial Services Representative,"Indianapolis, IN",Recommends,Positive Outlook,I worked at Charles Schwab (More than a year),"Great Company, Great People and Great Benefits/pay!","Culture could improve a bit, On the phones all day",
"""Good company but stalling out""","May 23, 2018",4.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,I worked at Charles Schwab full-time,"Client focused, good salary, decent benefits","Lack of recent investment in infrastructure and other ""non sexy"" areas. Project dollars seem to go to the next shiny object without regard for supporting infrastructure, training or modernizing software and hardware behind the product.",Executive Council has good ideas and direction but it gets lost after one level downwards push. A lot of lip service to move forward (coiled spring!) but little tangible action. A shame as it's a good company that can still do great and disruptive things in the industry but they're losing their way.
"""Glorified Call Center""","Jun 25, 2018",1.0,Former Employee,Relationship Specialist,"Orlando, FL",Doesn't Recommend,Negative Outlook,I worked at Charles Schwab full-time (More than a year),Perhaps the benefits. But thats about it.,Are you interested in working in a glorified call center then this is your place. Severely underpaid for the workload expected.,
"""Account Solutions Associate""","May 26, 2018",2.0,Former Employee,Account Solutions Associate,"Orlando, FL",Doesn't Recommend,Positive Outlook,Show More,"Bank holidays, clean and nice office building",Managers are actually less aware of how things work than the associates. The job is essentially fixing other people’s mistakes when it comes to new applications. The pay is not good and there is so much turnover that the people brought in are very uneducated. Getting paid the same as someone with little to no finance knowledge is not good. They have shifted to a new efficiency system that emphasizes numbers over … ,Learn how to do the job before expecting unrealistic results from your employees. Figure out how to get other departments to stop being so dependent on New Accounts. It’s like the New Accounts department has to figure out all of the other departments problems.
"""Team Manager-Schwab""","May 17, 2018",4.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,"Great company culture, opportunity for growth",Lower pay compared to industry competitors,
"""downsizing in San Francisco""","May 19, 2018",3.0,Current Employee,Senior Manager,"San Francisco, CA",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 8 years),"high ethical standards in the financial services industry, prestigious brand and reputation, great access to financial services benefits as an employee","It's headquartered in San Francisco, but they are scaling back the workforce due to the high cost of living and business operations. Lots of people have been laid off with no option of relocation to other developing locations. They are heavily investing in other new offices in Denver, Texas and elsewhere, but sadly cutting back on their longtime SF presence. As a result, room to grow in SF is very limited.",
"""Amazing people and culture!""","May 17, 2018",4.0,Current Employee,Administrative Assistant,"San Francisco, CA",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),"Collaborative team, supportive leaders, fair compensation, philanthropic culture","Bureaucratic, lack of career advancement in SF",
"""Registered Rep""","May 26, 2018",3.0,Former Employee,Anonymous Employee,,,Neutral Outlook,No opinion of CEO,advocates for clients and some good people,"youth culture, some departments disorganized",
"""Charles Schwab""","May 9, 2018",4.0,Current Employee,Anonymous Employee,,Recommends,Negative Outlook,I have been working at Charles Schwab full-time,"Great culture, good people, treats everyone fairly and really customer centric organization. Good place to start in the brokerage industry.","Lack of career path, and have a lot of inexperienced managers, some are micro managers who are stuck in the 1990’s unwilling to adapt to the changing times.",Please dig deeper into the overall operations on the individual branches. A lot swept under the rug by inexperienced managers. Listen to the employees who do the everyday things and less to managers who put on a facade
"""Client service specialist""","May 10, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab part-time,"Great culture, room for growth, and excellent leaders.",Some days are slower than others.,
